bulan;tahun;jumlah_curah_hujan;prediksi
3;2020;243.0;273
4;2020;136.5;245
5;2020;296.5;225
6;2020;278.0;236
7;2020;65.5;213
8;2020;59.5;134
9;2020;82.0;68
10;2020;716.0;285
11;2020;304.5;367
12;2020;367.5;462
1;2020;144.0;271
2;2020;319.0;276
3;2020;356.0;272
4;2020;283.5;319
5;2020;404.5;348
6;2020;390.5;359
7;2020;116.5;303
8;2020;54.0;186
9;2020;203.5;124
10;2020;916.0;391
11;2020;334.5;484
12;2020;426.5;559
1;2020;506.0;422
2;2020;296.0;409
3;2020;194.0;331
4;2020;323.0;270
5;2020;139.0;218
6;2020;313.0;258
7;2020;59.0;170
8;2020;35.0;135
9;2020;175.0;89
10;2020;391.0;200
11;2020;295.0;286
12;2020;393.0;359
1;2020;565.0;417
2;2020;247.0;401
3;2020;990.0;600
4;2020;235.0;490
5;2020;659.0;628
6;2020;488.0;460
7;2020;164.0;437
8;2020;138.0;263
9;2020;245.0;182
10;2020;877.0;420
11;2020;571.0;564
12;2020;430.0;626
1;2020;247.5;416
2;2020;373.0;350
3;2020;290.5;303
4;2020;219.0;294
5;2020;385.0;298
6;2020;457.5;353
7;2020;98.0;313
8;2020;96.0;217
9;2020;248.0;147
10;2020;1078.5;474
11;2020;349.0;558
12;2020;407.5;611
1;2020;218.5;325
2;2020;732.0;452
3;2020;709.0;553
4;2020;74.0;505
5;2020;285.5;356
6;2020;158.0;172
7;2020;0.0;147
8;2020;0.0;52
9;2020;91.5;30
10;2020;519.0;203
11;2020;346.5;319
12;2020;0.0;288
1;2020;370.0;238
2;2020;370.0;246
3;2020;565.0;435
4;2020;48.0;327
5;2020;276.0;296
6;2020;206.0;176
7;2020;0.0;160
8;2020;0.0;68
9;2020;215.0;71
10;2020;709.2;308
11;2020;325.6;416
12;2020;388.1;474
1;2020;320.0;344
2;2020;342.0;350
3;2020;290.0;317
4;2020;437.0;356
5;2020;389.0;372
6;2020;620.0;482
7;2020;73.0;360
8;2020;182.0;291
9;2020;120.0;125
10;2020;1222.0;508
11;2020;1265.0;869
12;2020;693.0;1060
1;2020;1331.5;1096
2;2020;1472.0;1165
3;2020;1340.0;1381
4;2020;770.0;1194
5;2020;1077.3;1062
6;2020;889.5;912
7;2020;99.5;688
8;2020;143.0;377
9;2020;275.0;172
10;2020;864.0;427
11;2020;895.0;678
12;2020;764.0;841
1;2020;460.8;706
2;2020;292.6;505
3;2020;256.5;336
4;2020;25.2;191
5;2020;147.3;143
6;2020;22.6;65
7;2020;159.1;109
8;2020;0.0;60
9;2020;191.5;116
10;2020;418.5;203
11;2020;398.6;336
12;2020;229.3;348
1;2020;602.0;409
2;2020;582.5;471
3;2020;395.0;526
4;2020;412.5;463
5;2020;446.0;417
6;2020;558.0;472
7;2020;114.5;372
8;2020;0.0;224
9;2020;206.0;106
10;2020;626.0;277
11;2020;435.5;422
12;2020;353.5;471
1;2021;81.0;290
2;2021;102.0;178
3;2021;53.0;78
4;2021;102.0;85
5;2021;40.0;65
6;2021;72.0;71
7;2021;25.0;45
8;2021;12.0;36
9;2021;40.0;25
10;2021;72.0;41
11;2021;72.0;61
12;2021;72.0;72
1;2021;81.0;75
2;2021;92.0;81
3;2021;39.0;70
4;2021;28.0;53
5;2021;55.0;40
6;2021;44.0;42
7;2021;31.0;43
8;2021;72.0;49
9;2021;72.0;58
10;2021;82.0;75
11;2021;61.0;71
12;2021;139.0;94
1;2021;55.0;85
2;2021;33.0;75
3;2021;48.0;45
4;2021;39.0;40
5;2021;18.0;35
6;2021;64.0;40
7;2021;46.0;42
8;2021;24.0;44
9;2021;49.0;39
10;2021;42.0;38
11;2021;42.0;44
12;2021;63.0;49
1;2021;33.0;46
2;2021;14.0;36
3;2021;15.0;20
4;2021;18.0;15
5;2021;5.0;12
6;2021;69.0;30
7;2021;85.0;53
8;2021;36.0;63
9;2021;84.0;68
10;2021;39.0;53
11;2021;39.0;54
12;2021;60.0;46
1;2021;16.0;38
2;2021;50.0;42
3;2021;24.0;30
4;2021;20.0;31
5;2021;15.0;19
6;2021;26.0;20
7;2021;26.0;22
8;2021;19.0;23
9;2021;88.0;44
10;2021;50.0;52
11;2021;50.0;62
12;2021;22.0;40
1;2021;53.0;41
2;2021;42.0;39
3;2021;93.0;62
4;2021;25.0;53
5;2021;61.0;59
6;2021;117.0;67
7;2021;0.0;59
8;2021;17.0;44
9;2021;37.0;18
10;2021;82.0;45
11;2021;82.0;67
12;2021;57.0;73
1;2021;69.0;69
2;2021;201.0;109
3;2021;121.0;130
4;2021;103.0;141
5;2021;113.0;112
6;2021;124.0;113
7;2021;68.0;101
8;2021;62.0;84
9;2021;15.0;48
10;2021;204.0;93
11;2021;204.0;141
12;2021;178.0;195
1;2021;58.0;146
2;2021;87.0;107
3;2021;52.0;65
4;2021;49.0;62
5;2021;120.0;73
6;2021;178.2;115
7;2021;96.4;131
8;2021;60.0;111
9;2021;80.0;78
10;2021;95.0;78
11;2021;95.0;90
12;2021;42.0;77
1;2021;19.0;52
2;2021;39.0;33
3;2021;44.0;34
4;2021;62.0;48
5;2021;41.0;49
6;2021;59.0;54
7;2021;31.0;43
8;2021;21.0;37
9;2021;16.0;22
10;2021;39.0;25
11;2021;39.0;31
12;2021;19.0;32
1;2021;44.0;34
2;2021;51.0;38
3;2021;46.0;47
4;2021;30.0;42
5;2021;66.0;47
6;2021;75.5;57
7;2021;16.5;52
8;2021;35.0;42
9;2021;35.0;28
10;2021;161.5;77
11;2021;161.5;119
12;2021;63.0;128
1;2021;51.0;91
2;2021;51.0;55
3;2021;57.0;53
4;2021;43.0;50
5;2021;84.0;61
6;2021;113.0;80
7;2021;57.5;84
8;2021;57.5;76
9;2021;71.0;62
10;2021;199.0;109
11;2021;83.0;117
12;2021;75.0;119
1;2021;80.0;79
2;2021;45.0;66
3;2021;27.0;50
4;2021;33.0;35
5;2021;70.0;43
6;2021;88.0;63
7;2021;45.0;67
8;2021;27.0;53
9;2021;43.0;38
10;2021;121.0;63
11;2021;121.0;95
12;2021;54.0;98
1;2021;93.0;89
2;2021;68.0;71
3;2021;387.0;182
4;2021;47.0;167
5;2021;93.0;175
6;2021;136.0;92
7;2021;47.0;92
8;2021;73.0;85
9;2021;60.0;60
10;2021;162.0;98
11;2021;162.0;128
12;2021;62.0;128
1;2021;51.0;91
2;2021;51.0;54
3;2021;57.0;53
4;2021;43.0;50
5;2021;84.0;61
6;2021;113.0;80
7;2021;57.5;84
8;2021;57.5;76
9;2021;71.0;62
10;2021;199.0;109
11;2021;83.0;117
12;2021;75.0;119
1;2021;101.0;86
2;2021;84.5;86
3;2021;49.0;78
4;2021;35.0;56
5;2021;41.0;41
6;2021;41.0;39
7;2021;39.0;40
8;2021;58.0;46
9;2021;43.5;46
10;2021;85.0;62
11;2021;85.0;71
12;2021;155.0;108
1;2021;220.0;153
2;2021;65.0;146
3;2021;80.0;121
4;2021;20.0;55
5;2021;35.0;45
6;2021;98.0;51
7;2021;0.0;44
8;2021;0.0;32
9;2021;107.0;35
10;2021;175.1;94
11;2021;175.1;152
12;2021;63.0;137
1;2021;127.0;121
2;2021;128.0;106
3;2021;54.0;103
4;2021;102.0;94
5;2021;54.0;70
6;2021;256.0;137
7;2021;49.0;119
8;2021;62.0;122
9;2021;85.0;65
10;2021;138.0;95
11;2021;138.0;120
12;2021;27.0;101
1;2021;297.0;154
2;2021;192.0;172
3;2021;160.0;216
4;2021;40.0;130
5;2021;212.0;137
6;2021;112.5;121
7;2021;101.0;141
8;2021;70.0;94
9;2021;195.0;122
10;2021;102.0;122
11;2021;102.0;133
12;2021;207.0;137
1;2021;49.8;119
2;2021;43.0;99
3;2021;59.0;50
4;2021;9.6;37
5;2021;23.0;30
6;2021;8.0;13
7;2021;29.1;20
8;2021;0.0;12
9;2021;38.0;22
10;2021;63.0;33
11;2021;63.0;54
12;2021;83.0;69
1;2021;69.0;71
2;2021;110.0;87
3;2021;35.0;71
4;2021;47.0;64
5;2021;143.0;75
6;2021;52.0;80
7;2021;71.0;88
8;2021;42.5;55
9;2021;74.5;62
10;2021;43.0;53
11;2021;43.0;53
12;2021;95.0;60
